"source_id","name","channel"
2197,"ICAO-A16C3A",1
2198,"ICAO-A885F4",1
2199,"A6A7DC",11
2200,"ICAO-A76F66",6
2201,"ICAO-A8B9B3",14
2202,"ICAO-AA441C",0
2203,"ICAO-ABE65A",6
2204,"ICAO-A591E1",15
2205,"ICAO-A954CA",12
2206,"ICAO-A542A6",9
2207,"ICAO-4BA9D3",14
2208,"42423F",5
2209,"C2095",12
2210,"ABE42C",5
2211,"AD8BED",0
2212,"A583F5",7
2213,"ICAO-406891",12
2214,"ICAO-A845F4",1
2215,"ICAO-A491FB",9
2216,"ICAO-ADF413",11
2217,"AD9712",11
2218,"ICAO-A6CB48",5
2219,"C0193B",10
2220,"AACF19",7
2221,"ICAO-A364EA",2
2222,"ICAO-040046",0
2223,"ICAO-A16EBC",1
2224,"A55090",5
2225,"ICAO-A98539",7
2226,"ACC3B4",1
2227,"ICAO-A76F87",10
2228,"A77AD8",9
2229,"ICAO-AD488B",3
2230,"ICAO-A64DFA",6
2231,"ADE2B8",15
2232,"A0EFF1",2
2233,"ICAO-A95DBA",7
2234,"ICAO-AA9249",6
2235,"ICAO-A3C3E0",1
